Título,Info,postingpills,Precio,postingcardexpenses,Localización,Palabras_clave,publisherlogo_URL,gotoposting,Descripción,Superficie,Recamaras,Baños,Estacionamiento
Avenida Costera de las Palmas Lt H1,+ 42,Destacado,"MN 55,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","178 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Velera a 17. Todas Las Recámaras con Vista Al Mar. Terraza Triple,"Cad Velera A 17. 3 recámaras todas con vista al mar, 3 baños, terraza con triple vista al mar, superficie 178 m² Renta mensual en contrato anual $55, 000. El departamento cuenta con: Superficie interior 117 m² Superficie de terrazas 61 m² Superficie total 178 m² Elevador a la puerta. Sala. Comedor. Terraza triple con vista total al mar. Cocina equipada e integral. Lavandería. Recámara uno con clóset y baño completo. Recámara dos con clóset y baño completo. Recámara principal con vestidor y baño completo. Dos estacionamientos. Condominio velera es un exclusivo y moderno desarrollo residencial que ofrece departamentos de playa con amenidades de resort nunca antes vistas en Acapulco, que redefinen una nueva forma de vivir y vacacionar. Condominio velera cuenta con múltiples y diversas actividades que permiten la integración familiar así como con espacios para socializar con los amigos y disfrutar de su compañía en las áreas comunes. En condominio velera puedes también entrenar en el extraordinario gym, convocar a reuniones de negocio en los espacios especialmente diseñados para esto, disfrutar de los magníficos especialistas en el spa, o bien disfrutar de la formidable sala de cine. Amenidades: Alberca Infinity. Amplios jardines. Área de juegos. Business Center. Cine. Gimnasio. Jacuzzi. Ludoteca. Oficinas de administración. Snack Bar. Spa. Sauna. Salas de masaje. Vapor. Zona de camastros en playa, jardines y playa. Vigilancia las 24 horas. Estacionamiento para visitas",178 m²,3 rec.,3 baños,2 estac.
Paseo de los Manglares 1007,+ 20,Destacado,"MN 20,000",,"Granjas del Marqués, Acapulco de Juárez","120 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Diamante Lakes Rubí 202. Terraza con Vista a La Alberca y Jardines,"Cad Diamante Lakes Rubí 202. 2 recámaras, 2 baños, terraza, un nivel, segundo piso, superficie 120 m² Renta por mes en contrato anual $20, 000. El departamento cuenta con: Sala. Comedor. Terraza con vista a la alberca y jardines. Cocina equipada e integral. Lavandería. Recámara uno con clóset y baño completo (Cama matrimonial y cama individual) Recámara principal con vestidor y baño completo (Cama queen size) Estacionamiento. Diamante Lakes es un hermoso y exclusivo condominio extraordinariamente bien ubicado, sobre Boulevard de las Naciones 401, esquina Paseo de los Manglares, Granjas del Marques, atrás de Burger King Diamante, en Acapulco Diamante, Guerrero, rodeado de los mejores bienes y servicios. Amenidades de Diamante lakes; Acceso controlado. Seguridad las 24 hrs. Palapas bar (con cantinero y servicio de bar) Administración operando servicio de limpieza en departamentos. Sub condominios independientes. Toboganes en albercas. Mobiliario de primera en albercas. Abundante vegetación tropical. Planta de tratamiento de aguas residuales. 4 cisternas de 120, 000 m3 aproximadamente. Hidroneumáticos. Alberca amplia con islas de descanso. Puentes peatonales. Palapa-bar a nivel de alberca. Área de juegos infantiles. Asoleaderos dentro y fuera de la alberca. Tobogán. Arenero. Chapoteadero. Jacuzzi. La Casa Club de Diamante Lakes cuenta con: Salón de maquinitas. Salón de juegos para bebés y niños. Sala de lectura. Sala de cine. Dos canchas de squash. Salón de usos múltiples. Salón de juegos para adultos. Cafetería. Gimnasio. Salón de aeróbics y pilates. Salas de masajes, jacuzzi terapéutico, baños, regaderas, vapor, sauna para damas y caballeros. Canchas de tenis",120 m²,2 rec.,2 baños,1 estac.
Vista de Golf S/N,+ 30,Destacado,"MN 55,000",,"Granjas del Marqués, Acapulco de Juárez","290 m²
3 rec.
3 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Azteca Princess 601. Terraza con Vista Al Campo de Golf,"Cad Azteca Princess 601. 3 recámaras, 3 baños, cuarto de servicio, 6 terrazas, en esquina, muy iluminado, muy buenas vistas, un nivel, piso 6, superficie 290 m² Renta por noche temporada regular $5, 500. Renta por noche temporada alta $10, 000. Incluye personal de limpieza. Renta mensual en contrato anual $55, 000. (incluye mantenimiento) Capacidad máxima 8 personas. El departamento cuenta con: Vestíbulo de acceso. Sala con doble vista. Comedor. Terraza principal con vistas al campo de golf. Cocina equipada e integral. Cuarto de servicio con baño. Recámara principal con baño completo, clóset, terraza y vista parcial al mar. Recámara dos con clóset, baño completo, dos terrazas con parcial al mar y campo de golf. Recámara tres con clóset, baño completo, terraza y vista al campo de golf. Amenidades: Alberca familiar. SunBath Terrace. Asoleaderos. Palapa con Snack bar. Áreas verdes. Bar. Área de actividades familiares. Seguridad las 24 horas",290 m²,3 rec.,3 baños,1 estac.
Lomas del mar 17,+ 18,Destacado,"MN 16,000",,"Fraccionamiento Club Deportivo, Acapulco de Juárez","110 m²
2 rec.
2 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Fair View 6b. Balcón con Vista Al Campo de Golf y Al Mar,"Cad Fair View 6B. 2 recámaras, 2 baños, un nivel, piso 6. Dos estacionamientos, superficie 110 m² Renta por mes en periodo vacacional $16, 000. (Máximo 3 meses) no aplica en temporada alta. El departamento cuenta con: Sala. Comedor. Balcón con vista al campo de golf y al mar. Cocina equipada e integral. Área de lavado. Recámara uno con clóset y baño completo. Recámara principal con clóset, baño completo, y vista al Fairway. Dos estacionamientos techados. Fair View: Recepción con vigilante 24 hrs. Dos albercas. Una para niños y una para adultos. Área de juegos para niños. Área de juegos de mesa. Asador. Gimnasio. Salón para eventos. Sky pool con alberca para adultos y vista a bahía",110 m²,2 rec.,2 baños,2 estac.
Paseo de la Playa Lote 34,+ 30,Destacado,"MN 95,000",,"Fraccionamiento Real Diamante, Acapulco de Juárez","449 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Villa Acapulco. Terraza Privada con Alberca. Vista Panorámica Al Mar,"Cad Villas del Mar - Villa Acapulco. 4 recámaras, 4 baños, terraza privada con alberca, dos terrazas en las recámaras, dos niveles, cuarto de servicio, bodega, vista panorámica al mar, club de playa propio y acceso directo a la playa, dos estacionamientos techados. Renta por noche temporada regular $16, 000. (mínimo 3 noches) Renta por noche temporada alta $22, 000. (mímino 10 noches) Renta mensual el periodo vacacional $150, 000. (no incluye temporada alta) Incluye personal de limpieza y cocinera. Renta mensual en contrato anual o semestral $95, 000. (más servicios, no incluye personal) La villa cuenta con: Superficie de construcción 449. 51 m² Vestíbulo de acceso. Sala con vista panorámica al mar. Comedor con vista panorámica al mar. Terraza con alberca privada, asoleadero, palapa, con vista panorámica al mar. Cocina equipada e integral. Cuarto de servicio. Lavandería. Bodega. Recámara uno con vestidor, baño completo y vista panorámica al mar. Recámara dos con vestidor, baño completo, terraza con vista panorámica al mar. Recámara tres con vestidor, baño completo, terraza con vista panorámica al mar. Recámara principal con sala de televisión, dos vestidores, baño completo, vista panorámica al mar. Dos estacionamientos",449 m²,4 rec.,4 baños,2 estac.
Av. Costera de Las Palmas Lote H-10,+ 35,Destacado,"MN 35,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","120 m²
2 rec.
2 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad La Isla Ibiza F8. Sala con Terraza y Vista a Los Jardines y El Mar,"Cad La Isla Ibiza F8. 2 recámaras, 2 baños, un nivel, piso 8, superficie 120 m² Renta por noche en temporada regular $4, 500. Renta por noche en temporada media $5, 500. Renta por noche en temporada alta $8, 500. Renta mensual en periodo vacacional $60, 000. Capacidad máxima 6 personas. Renta mensual en contrato anual $35, 000. El departamento cuenta con: Sala con terraza y vista a los jardines y el mar. Comedor. Cocina equipada. Lavandería. Recámara principal con baño, clóset y vista a los jardines y el mar. Recámara dos con baño y clóset. Dos estacionamientos. La Isla es un hermoso y exclusivo condominio de lujo con playa propia, para uso de todos los propietarios, con amenidades extraordinarias en todos los órdenes. Por fin los propietarios e invitados pueden disfrutar de un increíble fraccionamiento con formidables áreas verdes y 320 metros lineales de playa del Pacífico. Amenidades del condominio: Spa, casa club, área de relajación, ludoteca, yoga, masajes, cinema 3D, Gym, canchas deportivas, Isla de los niños, canchas de fútbol, voleibol playero, alberca de nado y canal de nado, toboganes, alberca de convivencia familiar, club de playa, playa, jacuzzi, alberca para adultos, grandes extensiones de áreas verdes y jardines (el 80% del predio), owner´s lounge & Teens lounge, cafetería, y muchas cosas más. Descripción: El condominio está conformado por 10 torres; Aqua, Bali, Capri, Devon, Emerald, Fiji, Grand Caimán, Hawai, Ibiza y Java, actualmente se han construido cinco torres. ",120 m²,2 rec.,2 baños,2 estac.
Vista de Golf S/N,+ 31,Destacado,"MN 55,000",,"Granjas del Marqués, Acapulco de Juárez","275 m²
4 rec.
5 baños
3 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,"Cad Azteca Princess 1001. Cinco Terrazas, Cuarto de Servicio","Cad Azteca Princess 1001. 4 recámaras, 5 baños, 5 terrazas, cuarto de servicio, piso 10, un nivel, superficie 275 m² Renta por noche temporada regular $5, 500. Renta por noche temporada alta $10, 000. Incluye personal de limpieza. Capacidad máxima 8 personas. Renta mensual en contrato anual $55, 000. (incluye mantenimiento) Vestíbulo de acceso. Sala. Comedor. Terraza doble. Cocina equipada e integral. Cuarto de servicio con baño. Recámara uno con terraza y baño completo. Recámara dos con clóset, terraza y baño completo. Recámara tres con clóset, terraza y baño completo. Recámara principal con clóset, terraza u baño completo. 3 estacionamientos. Amenidades: Alberca familiar. SunBath Terrace. Asoleaderos. Palapa con Snack bar. Áreas verdes. Bar. Área de actividades familiares. Seguridad las 24 horas",275 m²,4 rec.,5 baños,3 estac.
Av. Costera de las Palmas 114,+ 20,Destacado,"MN 75,000",,"Granjas del Marqués, Acapulco de Juárez","257 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Costa Bamboo PH 3. de Playa. Vista Lateral Al Mar,"Cad Costa Bamboo ph 3. 3 recámaras, 3. 5 baños, vista lateral al mar, bodega, dos estacionamientos techados, un nivel, piso 14, superficie 257 m² Renta por mes en contrato mensual $75, 000. El departamento cuenta con: Sala. Comedor. Terraza con vista lateral al mar. Cocina equipada e integral. Lavandería. Baño de visitas. Recámara uno con clóset y baño completo. Recámara dos con clóset, baño completo y terraza. Recámara principal con baño completo, clóset, salida a la terraza y vista al mar. Dos estacionamientos techados. Bodega. Descripción: El condominio está conformado por una torre con 4 departamentos por piso, con vista al mar y a Costera de las palmas, muy iluminados y con buenos espacios tanto interiores como exteriores. Arquitectura: El estilo arquitectónico es moderno, caracterizado por sus formas simples y colores claros. Alberca para adultos y niños. Jacuzzi. Asoleaderos. Carpas en playa con camastros y sillas. Palapa - bar. Áreas verdes. Área de juegos infantiles. Gym. spa. Canchas de paddel tennis. Salón de juegos. Salón de tv",257 m²,3 rec.,3 baños,2 estac.
Av. Costera de las Palmas 114,+ 21,Destacado,"MN 180,000",,"Granjas del Marqués, Acapulco de Juárez","520 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Marena 2103 Espectacular! Terraza con Alberca Privada y Vista Al Mar,"Cad Marena 2103. 4 recámaras, 4. 5 baños, cuarto de servicio, family room, dos niveles, piso 21, 520 m² Renta mensual en contrato anual $180, 000. (incluye mantenimiento) El departamento cuenta con: Sala. Comedor. Terraza a doble altura, alberca, asoleadero, vistas al mar. Mesa de juegos. Cocina equipada e integral. Cuarto de servicio con baño. Lavandería. Family Room. Recámara uno con clóset y baño completo. Recámara dos con clóset, baño completo y vista al mar. Recámara tres con clóset, baño completo y vista al mar. Recámara principal con terraza, vestidor, baño completo y vistas al mar. Dos estacionamientos. Marena incomparable condominio de 42 departamentos que dan forma a una torre curva de 27 niveles estratégicamente bien ubicada, a 10 minutos del aeropuerto en la zona de Acapulco Diamante, a un paso de tres campos de golf, sobre la avenida residencial más importante de Acapulco, con gran frente de playa, rodeado de edificios residenciales y de lujo en condominio totalmente terminados y otros en proceso de edificación, todos de lujo, centros comerciales de excelente nivel con servicios de restaurantes, spas, tiendas, bares, además de centros de entretenimiento y espectáculos entre muchas otras cosas más, y con increíbles vistas al mar. A los pies del edificio un gran cuerpo de agua, que contiene las albercas, se unifica con el tono y oleaje del mar, reflejando la curveada silueta del edificio. Los espacios de recepción y áreas públicas se encuentran vinculados plenamente con el cuerpo de agua, que por medio de distintos elementos, como muelles y puentes, componen el conjunto con directrices marcadas siempre hacia el mar. Un gran eje soslaya dos espacios verdes a la entrada del conjunto, donde se ubican las canchas de tenis y paddle, así como la terraza para jóvenes, integradas con los demás espacios públicos. ",520 m²,4 rec.,4 baños,2 estac.
Boulevard Barra Vieja 780,+ 37,Destacado,"MN 75,000",,"Alfredo V Bonfil, Acapulco de Juárez","230 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Vidamar II 200. Terraza con Vista Frontal Al Mar,"Cad Vidamar ii 200. 4 recámaras, 4 baños, terraza con vista frontal al mar, piso 2, un nivel, superficie 230 m² Renta mensual en contrato trimestral $75, 000. El departamento cuenta con: Vestíbulo de acceso. Sala. Comedor. Terraza con vista frontal al mar. Cocina equipada e integral. Lavandería. Recámara uno con clóset con baño completo. Recámara dos con clóset y baño completo. Recámara tres con clóset y baño completo. Recámara principal con vestidor, baño completo, acceso a la terraza y vista al mar. Dos estacionamientos. Condominio Vidamar ii es un desarrollo con playa propia que se ubica sobre Boulevard Barra Vieja, Plan de los Amates, la zona más exclusiva y de mayor plusvalía de Acapulco. Consta solamente de 50 extraordinarios departamentos de lujo. Amenidades en el condominio: 144 metros lineales de frente de playa privada en el Océano Pacífico. Extraordinarias Albercas y chapoteaderos. Asoleadero. Jacuzzi con vista al mar. Elegante Lobby Bar. Terraza Lounge. Áreas verdes y recreativas. Palapas con servicio de bar y restaurante. Casa club con: Sala de juegos. Gym con equipo de primera. spa. Canchas de Padel. Internet Inalámbrico. Juegos Infantiles. Seguridad las 24 horas. Salvavidas. 4 elevadores. Planta de luz de emergencia",230 m²,4 rec.,4 baños,2 estac.
Blvrd Barra Vieja 200,+ 25,Destacado,"MN 88,000",,"Plan de los Amates, Acapulco de Juárez","265 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,"Cad Ocean Front 603, Terraza, Vista Al Mar, Elevador a La Puerta","Cad Ocean Front, departamento 603 4 recámaras, piso 6, 265 m², elevador a la sala. Renta por noche en temporada regular $12, 000. Renta por noche en temporada alta $18, 000. Capacidad máxima 12 personas. (Mínimo 6 noches) La renta considera el servicio de una persona de limpieza 5 horas. Renta mensual en contrato anual $88, 000. Descripción del departamento: Elevador a la puerta del departamento. Vestíbulo. Sala y comedor con acceso a la terraza y vista al mar. Cocina equipada. Cuarto de lavandería. Cuarto de servicio con literas y baño completo. Terraza con vista al Océano Pacífico, áreas comunes y albercas. Sala de televisión. Recámara uno con baño, clóset. Recámara dos con baño, clóset. Recámara tres con baño compartido con la sala. Recámara principal con baño, vestidor con clóset y vista al Océano. Cajón de estacionamiento para dos automóviles. Bodega. Condominio de playa Ocean Front cuenta con un gran frente de playa y está ubicado dentro de la zona de Acapulco Diamante y Riviera Diamante, un corredor inmobiliario residencial, comercial y de servicios compuesto por lujosos hoteles, impresionantes, elegantes, exclusivos y sorprendentes desarrollos residenciales; que ofrecen todas las comodidades de la vida moderna. La relación de departamentos vs m² de áreas verdes y recreativas lo hacen el condominio más privilegiado, más amplio y con mayor confort de Acapulco Diamante. Amenidades del condominio: Extraordinaria vista y acceso al Océano Pacífico. Alberca con chapoteadero. Asoleadero. Jacuzzi con vista al mar. Elegante lobby bar. Cancha de pádel tenis. Áreas verdes y recreativas. Palapa con servicio de bar. Casa club con sala de juegos. Gym con equipo de primera. spa con servicio de personal. Juegos infantiles. Seguridad las 24 horas. Estacionamiento techado",265 m²,4 rec.,4 baños,2 estac.
Rosa de los Vientos,+ 32,Destacado,"MN 25,000","+ MN 3,500 Mantenimiento","Vicente Guerrero, Acapulco de Juárez","126 m²
3 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Altamar Victory 403. Amueblado y Decorado. Terraza con Vista a Las Albercas,"Cad Altamar Residencial Victory 403. 3 recámaras, 2 baños, terraza, un nivel, piso 5, superficie 126 m² Precio de venta $3, 750, 000. amueblado Y decorado. Precio por m2 $29, 762. Mantenimiento mensual $3, 500. Renta por mes periodo vacacional $35, 000. Renta por mes contrato anual $25, 000. El departamento cuenta con: Comedor. Sala. Terraza grande con vistas a los jardines y albercas. Cocina equipada e integral. Lavandería. Recámara uno con clóset, baño completo y salida a la terraza. Recámara dos con clóset y baño completo. Recámara tres con clóset. Un estacionamiento. En una zona de vertiginosa plusvalía en Acapulco, a dos minutos del aeropuerto entre el mar y la laguna, emerge un desarrollo inmobiliario. Ubicado a un paso de la laguna de tres palos que desemboca en el Océano Pacífico en forma de barra. Áreas infantiles. Jardín y albercas. Estacionamientos techados",126 m²,3 rec.,2 baños,1 estac.
Avenida Pacífico lote 38,+ 38,Destacado,"MN 110,000",,"Fraccionamiento Real Diamante, Acapulco de Juárez","670 m²
4 rec.
5 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,"Cad Vista del Mar Pb. Alberca, Palapa, Sala de Televisión y de Juegos","Cad Vista del Mar, edificio Tierra pb. 4 recámaras, 5. 5 baños, alberca, palapa, sala de televisión y de juegos, cuarto de servicio, 670 m² Renta mensual en contrato anual $110, 000. El departamento cuenta con: Vestíbulo de acceso. Sala. Comedor. Terraza con alberca privada, palapa, asador, extraordinarias vistas al pacífico y a Diamante. Cocina equipada e integral. Lavandería. Cuarto de servicio con baño completo. Sala de televisión y de juegos con vestidor, baño completo y vista al mar. Recámara principal con vestidor, baño completo y vista al mar. Recámara dos con vestidor, baño completo, terraza y vista al mar. Recámara tres con vestidor, baño completo, terraza y vista al mar. Recámara cuatro con vestidor, baño completo, terraza y vista al mar. Dos estacionamientos techados",670 m²,4 rec.,5 baños,2 estac.
Paseo la Quinta,+ 17,Destacado,"MN 45,000","+ MN 9,300 Mantenimiento","Fraccionamiento Real Diamante, Acapulco de Juárez","216 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,"Cad Océano Playa Fortuna 2. Terraza con Vista Al Mar, Acceso a La Alberca","Cad Condominio Océano, departamento Playa Fortuna 2. 3 recámaras, nivel jardín, cuarto de servicio, 216 m² Precio de venta $4, 500, 000. Precio por m² $20, 833. Cuota mensual del mantenimiento $9, 300. Renta mensual en contrato anual $45, 000. Distribución del departamento: Vestíbulo. Sala. Comedor. Terraza con vistas al mar, acceso directo a la alberca y jardines. Cocina equipada. Cuarto de lavado. Cuarto de servicio con baño completo. Recámara uno con baño y clóset. Recámara dos con clóset y baño completo que funciona también como baño de visitas. Recámara principal con vestidor, baño, tina, y balcón de muy buen tamaño con vista al mar y acceso directo a la alberca y jardines. Dos estacionamientos techados. Amenidades: Canchas de Básquetbol. Salón familiar con juegos, Futbolito, Ping Pong y mucho más. Sala de televisión. Estacionamiento techado. Alberca local (de uso para dos edificios) Alberca general (para uso de todos los condóminos) con palapas, chapoteadero, jacuzzi, alberca familiar, Pool Bar, Asoleadero húmedo y una vista maravillosa tanto del Pacífico como de Playa. Jardines. Hermosos pasillos y andadores que invitan a caminar durante la noche. Casa club. gym completo con aire acondicionado. Spa para Hombres y Mujeres. Elevadores. Palapa para eventos y reuniones. Tres casetas de vigilancia. Vigilancia permanente en todo el condominio. Y un hermoso y privado club de playa",216 m²,3 rec.,3 baños,2 estac.
"H 5, Av. Costera de las Palmas",+ 32,Destacado,"MN 25,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","113 m²
2 rec.
2 baños
4 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Península Loft B 352. de Playa. Las Mejores Amenidades,"Cad Península Loft B 352. 2 recámaras, 2 baños, piso 3, un nivel superficie 113 m² Renta mensual en contrato anual $25, 000. El departamento cuenta con: Sala. Comedor. Terraza. Cocina equipada e integral. Recámara uno con clóset y baño completo. Recámara dos con vestidor, baño completo y salida a la terraza. Estacionamiento techado. Condominio Península Diamante es un exclusivo y moderno desarrollo residencial que ofrece lofts y departamentos de playa con amenidades de resort nunca antes vistas en Acapulco, que redefinen una nueva forma de vivir y vacacionar. Condominio Península Diamante cuenta con múltiples y diversas actividades que permiten la integración familiar, así como con extraordinarios espacios para socializar con los amigos y disfrutar de su compañía en las áreas comunes. En condominio Península Diamante puedes también entrenar en el extraordinario gym, convocar a reuniones de negocio en los espacios especialmente diseñados para esto, disfrutar de los magníficos especialistas en el spa, o bien disfrutar de la formidable sala de cine. Amenidades: Owner lounge. Cinema 3D. Kids Club. Lobby. Alberca tipo Infinity. Spa. Gym. Zona de playa con acceso restringido. Zona de camastros en playa, jardines y playa. Vigilancia las 24 horas. Estacionamiento para visitas",113 m²,2 rec.,2 baños,4 estac.
Av. Costera de las Palmas 2774,+ 30,Destacado,"MN 50,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","120 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,"Cad Torre Uno 802. Remodelado, de Playa, Extraordinaria Vista Al Mar","Cad Torre Uno 802. 2 recámaras, 2 baños, terraza panorámica, superficie 120 m², piso 8. Extraordinarias vistas al mar. Remodelado. Renta mensual en contrato anual $50, 000. El departamento cuenta con: Sala con vista a las albercas y al mar. Comedor. Terraza doble con vista a las albercas y al mar. Cocina totalmente equipada, alacena grande. Lavandería. Recámara uno con clóset y baño compartido con la sala (dos camas individuales y un sofá) Recámara principal con baño y dos clósets, con balcón y vistas a la alberca y al mar (cama king size) Un cajón de estacionamiento. Torre uno rodeado de los mejores bienes y servicios: lujosos hoteles, impresionantes, elegantes, exclusivos y sorprendentes desarrollos residenciales, spas, los mejores restaurantes, zonas comerciales con Liverpool, Palacio de Hierro, la Isla shopping village, sucursales de las mejores marcas, Walmart, Mega comercial, chedraui select, tiendas de muebles, casinos, así como cuatro exclusivos campos de golf, el aeropuerto internacional de Acapulco, la entrada de la autopista del sol, buscan conservar el entorno natural en diferentes ámbitos, cuidando al máximo las extensas playas y hermosos palmares; todo ello dentro de un ambiente sano, seguro, confortable y con extraordinarias vialidades. El condominio incluye: Albercas. Palapas en playa. Zona de camastros en playa, jardines y playa. Jardines y áreas verdes. Casa club. Vigilancia las 24 horas. Estacionamiento para visitas. Zona de playa con acceso restringido",120 m²,2 rec.,2 baños,1 estac.
Av. Costera de Las Palmas Lote H-10,+ 28,Destacado,"MN 50,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","130 m²
2 rec.
2 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad La Isla Gran Caimán 604. Terraza con Vista a Los Jardines y Albercas,"Cad La Isla Gran Caimán departamento 604. 2 recámaras, 2 baños, 2 estacionamientos, un nivel piso 6, superficie 130 m² Renta por noche temporada regular $4, 000. Renta por noche temporada media $6, 000. Renta por noche temporada alta $8, 500. Incluye servicio de limpieza. Capacidad máxima 6 personas. Renta por mes en periodo vacacional $80, 000. No incluye temporadas altas. Renta mensual en contrato anual $50, 000. El departamento cuenta con: Sala. Comedor. Terraza con vista a los jardines y albercas. Cocina equipada e integral. Lavandería. Recámara uno clóset y baño completo. Recámara dos con clóset, baño completo, salida a la terraza y vista al los jardines y albercas. Dos estacionamientos. La Isla es un hermoso y exclusivo condominio de lujo con playa propia, para uso de todos los propietarios, con amenidades extraordinarias en todos los órdenes. Por fin los propietarios e invitados pueden disfrutar de un increíble fraccionamiento con formidables áreas verdes y 320 metros lineales de playa del Pacífico. Amenidades del condominio: Spa, casa club, área de relajación, ludoteca, yoga, masajes, cinema 3D, Gym, canchas deportivas, Isla de los niños, canchas de fútbol, voleibol playero, alberca de nado y canal de nado, toboganes, alberca de convivencia familiar, club de playa, playa, jacuzzi, alberca para adultos, grandes extensiones de áreas verdes y jardines (el 80% del predio), owner´s lounge & Teens lounge, cafetería, y muchas cosas más. Descripción: El condominio está conformado por 10 torres; Aqua, Bali, Capri, Devon, Emerald, Fiji, Grand Caimán, Hawai, Ibiza y Java, actualmente se han construido cinco torres. ",130 m²,2 rec.,2 baños,2 estac.
Av. Costera Miguel Alemán 3209,+ 41,Destacado,"MN 33,000",,"Fraccionamiento Costa Azul, Acapulco de Juárez","60 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad Armando´s Le Club B 201. Terraza con Vista Frontal Al Mar,"Cad Armando´s Le Club Torre B 201. 2 recámaras, 2 baños, terraza con vista frontal al mar, piso 2, un nivel, superficie 60 m² Renta mensual en contrato trimestral $38, 000. Renta mensual en contrato semestral $36, 500. Renta mensual en contrato anual $33, 000. El departamento cuenta con: Sala. Comedor. Terraza con vista frontal al mar. Cocina equipada e integral. Lavandería. Recámara uno con clóset y baño completo. Recámara principal con clóset, baño completo, salida a la terraza y vista al mar. Estacionamiento techado. Amenidades: Albercas. Lobby para acceso a la playa. Gimnasio. Ludoteca. Estacionamiento techado. Salón familiar",60 m²,2 rec.,2 baños,1 estac.
Av. Tres Vidas S/N,+ 25,Destacado,"MN 220,000",,"Plan de los Amates, Acapulco de Juárez","20 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casas-acapulco-diamante_50013826-inmuebles.html,Cad El Palmar - Tres Vidas Barú 202. Terraza con Vista Al Mar,"Cad El Palmar - Tres Vidas Barú 202. 4 recámaras, con vista al mar, piso 2, superficie de 240 m² Renta semestral pn $800 usd. Renta mensual pn $1, 000 usd. Renta mensual en contrato anual $220, 000. Costo sanitización $5, 500. El departamento cuenta con: Sala con vista al mar. Comedor con vista al mar. Terraza con vista al mar. Cocina equipada. Recámara principal (King Size) con baño completo terraza y vista al mar. Recámara dos (dos matrimoniales) con baño completo y clóset. Recámara tres (dos matrimoniales) con baño completo y clóset. Recámara cuatro (King Size) con baño completo y clóset. Cuarto de servicio (cama individual) con baño completo. Dos cajones de estacionamiento. Amenidades: Alberca. Zona de playa. Zona de juegos infantiles. Spa. Gimnasio",20 m²,4 rec.,4 baños,2 estac.
